time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.velocity.linear.x,.velocity.linear.y,.velocity.linear.z,.velocity.angular.x,.velocity.angular.y,.velocity.angular.z,.covariance
2023/03/04/12:43:33.628366,149267,1668508050,24801236,,-162.75987029464744,7.208841637755217,0.0,0.0,0.0,0.6772752406458482,0.7357297387003657,0.0035288760800726406,0.04257829688832399,0.0,0.0,0.0,-0.0012010883565667175,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.638237,149268,1668508050,34626079,,-162.7598381376106,7.20925541439091,0.0,0.0,0.0,0.6772706461304114,0.7357339681502377,0.0035871434748593694,0.04327476660859878,0.0,0.0,0.0,-0.0012209863704688087,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.683753,149269,1668508050,44518139,,-162.75957100670993,7.209526601287514,0.0,0.0,0.0,0.6772931286239106,0.7357132715391472,0.0036088058405263925,0.04356844185701443,0.0,0.0,0.0,-0.0012297148241388824,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.683793,149270,1668508050,54620367,,-162.75953809900597,7.209949883463563,0.0,0.0,0.0,0.6772884107451016,0.7357176147615161,0.0036699471586631666,0.0442996833129694,0.0,0.0,0.0,-0.0012505983318815298,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.683832,149271,1668508050,64832473,,-162.75823477569827,7.220182737707441,0.0,0.0,0.0,0.6772888161320543,0.7357172415693685,0.005867909676186942,0.07083208853234554,0.0,0.0,0.0,-0.0019841745621429203,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.714833,149272,1668508050,74638114,,-162.75818212435664,7.2208674195643185,0.0,0.0,0.0,0.6772813567346153,0.7357241084942907,0.005947767390207638,0.07177836832277797,0.0,0.0,0.0,-0.002008615343357909,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.714895,149273,1668508050,84651748,,-162.75777831261232,7.2215630560318935,0.0,0.0,0.0,0.6773136872528034,0.735694344860698,0.00601946612061351,0.07272129877549319,0.0,0.0,0.0,-0.0020356843128601834,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.714945,149274,1668508050,94624174,,-162.75771383468287,7.222363296988274,0.0,0.0,0.0,0.6773058603227298,0.7357015506117184,0.006117733983928519,0.07388935115531739,0.0,0.0,0.0,-0.0020691319416706352,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.715001,149275,1668508050,104654326,,-162.75733954024918,7.2231963752071096,0.0,0.0,0.0,0.6773294011286902,0.7356798776415254,0.006189942498780384,0.07481970552635657,0.0,0.0,0.0,-0.002096100352848329,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.718365,149276,1668508050,114648523,,-162.75728232163874,7.223934134989317,0.0,0.0,0.0,0.6773215023477195,0.735687149852047,0.006269009026198947,0.0757556092171095,0.0,0.0,0.0,-0.0021232576708469664,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.728607,149277,1668508050,124823362,,-162.75701300507265,7.224778147510352,0.0,0.0,0.0,0.677310942050796,0.7356968722091071,0.00634850583684553,0.07668947297985818,0.0,0.0,0.0,-0.0021478312503946636,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.738087,149278,1668508050,134498770,,-162.75695385373976,7.225536917975425,0.0,0.0,0.0,0.6773028533380951,0.7357043189081295,0.006426343410558234,0.07760898864805965,0.0,0.0,0.0,-0.0021740953525278693,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.747935,149279,1668508050,144434269,,-162.7553949035042,7.239355886491834,0.0,0.0,0.0,0.6772452926872483,0.7357573061363124,0.009389504650744781,0.11317884355821987,0.0,0.0,0.0,-0.003146955030844415,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.763238,149280,1668508050,154522261,,-162.75530807452603,7.240474873693605,0.0,0.0,0.0,0.6772335299213085,0.735768133279992,0.009500823283134563,0.11447622753727874,0.0,0.0,0.0,-0.0031818877269061555,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.768364,149281,1668508050,164841820,,-162.7550537412705,7.241645654392214,0.0,0.0,0.0,0.6772116100156502,0.7357883087274566,0.009616140800578172,0.11578200298142073,0.0,0.0,0.0,-0.003220404374435744,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.796829,149282,1668508050,174808404,,-162.7549638613416,7.2427992743608876,0.0,0.0,0.0,0.677199550389083,0.7357994080949127,0.00972793548388698,0.11708152469137725,0.0,0.0,0.0,-0.0032551187060228136,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.796876,149283,1668508050,184831084,,-162.75489483700787,7.244124185830325,0.0,0.0,0.0,0.6771156662126835,0.7358766028141904,0.009860878563812637,0.11835455253962596,0.0,0.0,0.0,-0.0032923355617078677,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.798117,149284,1668508050,194650414,,-162.75473741464683,7.245917336843385,0.0,0.0,0.0,0.6771022234163209,0.735888971954788,0.010105643484358318,0.1212387938164541,0.0,0.0,0.0,-0.003373922956417555,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.808251,149285,1668508050,204649360,,-162.75467758671698,7.24724705574365,0.0,0.0,0.0,0.6770144525604103,0.7359697215404504,0.01023826916091752,0.12247698956338321,0.0,0.0,0.0,-0.003410944949243866,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.818120,149286,1668508050,214540861,,-162.7545802987757,7.248476544370789,0.0,0.0,0.0,0.6770016664156524,0.7359814832388311,0.010348179224083277,0.12374001403700022,0.0,0.0,0.0,-0.0034486200019866724,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.828388,149287,1668508050,224824318,,-162.75294666888473,7.2640173977199005,0.0,0.0,0.0,0.6769170941240518,0.7360592691371053,0.013725209432563014,0.16366848194658146,0.0,0.0,0.0,-0.004539940532883083,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.838055,149288,1668508050,234613302,,-162.75281894137575,7.265641716890865,0.0,0.0,0.0,0.6769001540156463,0.7360748477523155,0.013875798610038818,0.16537279899568044,0.0,0.0,0.0,-0.004589402292350275,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.848035,149289,1668508050,244547053,,-162.7525502649173,7.268078382030524,0.0,0.0,0.0,0.676849207334401,0.736121695462641,0.01419739691398338,0.16892498348584656,0.0,0.0,0.0,-0.004691589858598276,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.858359,149290,1668508050,254801846,,-162.75241654875163,7.269766718852961,0.0,0.0,0.0,0.6768316547676125,0.736137834311303,0.01435377657013841,0.17068810096685139,0.0,0.0,0.0,-0.00474544191294458,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.868606,149291,1668508050,264840127,,-162.75209021621365,7.2716886806988885,0.0,0.0,0.0,0.6767967118047638,0.7361699606003084,0.014515522630293976,0.17241548705408372,0.0,0.0,0.0,-0.004798310005123701,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.878385,149292,1668508050,274832864,,-162.7519507651484,7.273433155670469,0.0,0.0,0.0,0.6767787637566155,0.7361864607068425,0.014668209531781908,0.17412753813187914,0.0,0.0,0.0,-0.004850702726220288,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.942015,149293,1668508050,284827457,,-162.7516159524702,7.275491078223915,0.0,0.0,0.0,0.6767463980385628,0.7362162133108936,0.014826821323631391,0.17582560500752353,0.0,0.0,0.0,-0.004902698126484743,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.942070,149294,1668508050,294593988,,-162.75137122615936,7.278239542789657,0.0,0.0,0.0,0.6767262749709981,0.736234710376981,0.015200799393363927,0.18014285806330385,0.0,0.0,0.0,-0.005026632274257714,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.942176,149295,1668508050,304536295,,-162.74948809590666,7.295956705449865,0.0,0.0,0.0,0.6766320119409376,0.7363213431761698,0.01907926525255654,0.22541719092233287,0.0,0.0,0.0,-0.00627678437928033,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.942212,149296,1668508050,314539394,,-162.74930553374296,7.298225502781156,0.0,0.0,0.0,0.676608618064947,0.7363428399599216,0.019279143214864354,0.2276066075422448,0.0,0.0,0.0,-0.0063437661010344835,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.942278,149297,1668508050,324529196,,-162.74906145545708,7.300662759678579,0.0,0.0,0.0,0.6765358688243797,0.7364096809480724,0.019507393378726447,0.22976147873889646,0.0,0.0,0.0,-0.0064112300136560845,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.942308,149298,1668508050,334539127,,-162.74887353382118,7.302981892566003,0.0,0.0,0.0,0.6765119665803239,0.7364316391041484,0.01970362437577521,0.2318941418603253,0.0,0.0,0.0,-0.006478004366641073,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.948000,149299,1668508050,344544461,,-162.74577641597423,7.332306574574536,0.0,0.0,0.0,0.6763998012824411,0.7365346623378116,0.0263643288399931,0.3091683633010494,0.0,0.0,0.0,-0.008618381622008602,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.958090,149300,1668508050,354560223,,-162.74552291745516,7.335417569215116,0.0,0.0,0.0,0.676367698362312,0.7365641429041115,0.026656044756945083,0.3122677133362976,0.0,0.0,0.0,-0.008715849083849985,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.968070,149301,1668508050,364536797,,-162.7450217905051,7.33851237284078,0.0,0.0,0.0,0.6763367615836742,0.7365925501459463,0.0269399790734568,0.31528140431924373,0.0,0.0,0.0,-0.00881217078745559,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.978377,149302,1668508050,374857200,,-162.74476202904393,7.341682872542036,0.0,0.0,0.0,0.6763039772810213,0.7366226512359444,0.027219075368512886,0.3182137775083845,0.0,0.0,0.0,-0.008906003699227893,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:34.024315,149303,1668508050,384828159,,-162.74298609433805,7.35842161957042,0.0,0.0,0.0,0.6761961904322956,0.7367215973791257,0.03082574611917912,0.35914109578503445,0.0,0.0,0.0,-0.010055436596187786,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:34.024364,149304,1668508050,394653195,,-162.74134282902838,7.37476666983267,0.0,0.0,0.0,0.6761345110684305,0.7367782047144543,0.03423972345444229,0.3981338824170435,0.0,0.0,0.0,-0.011154502863751086,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:34.024423,149305,1668508050,404546748,,-162.74093131078004,7.37852208177809,0.0,0.0,0.0,0.6760557241065207,0.7368504990178184,0.03463862810385056,0.401765797329224,0.0,0.0,0.0,-0.011271952097159825,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:34.024469,149306,1668508050,414842186,,-162.74059645248738,7.382551452570552,0.0,0.0,0.0,0.676013869949639,0.7368888977557693,0.034993189903805136,0.40534022173765094,0.0,0.0,0.0,-0.0113872339475622,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:34.028553,149307,1668508050,424814982,,-162.7403254553011,7.3865457160313905,0.0,0.0,0.0,0.6759398824179644,0.7369567662738353,0.035381075156757764,0.4088751202171318,0.0,0.0,0.0,-0.011500866206757693,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
